Designator,Mid X,Mid Y,Rotation,Layer
J3,373.94875,-45.239153,90.0,top
J4,362.2625,-115.09375,90.0,bottom
R1,217.58789,-23.794288,0.0,bottom
R10,366.309174,-91.744026,270.0,bottom
R11,364.721674,-91.748835,270.0,bottom
R12,349.78625,-83.34375,180.0,top
R2,223.834307,-23.794288,180.0,bottom
R3,382.5875,-26.19375,0.0,bottom
R4,382.5875,-20.6375,180.0,bottom
R5,357.603648,-109.240877,270.0,bottom
R6,373.80625,-79.375,0.0,bottom
R7,373.80625,-80.775,180.0,bottom
R8,373.80625,-82.15625,0.0,bottom
R9,366.457512,-110.99793,135.0,bottom
RST1,350.309148,-109.991769,0.0,bottom
Regulator,298.45,-38.89375,0.0,bottom
Rotary Encoder,385.0705,-20.79625,0.0,bottom
SW1,25.4,-23.01875,0.0,bottom
SW10,234.95,-23.01875,0.0,bottom
SW11,254.0,-23.01875,0.0,bottom
SW12,273.05,-23.01875,0.0,bottom
SW13,292.1,-23.01875,0.0,bottom
SW14,315.9125,-23.01875,0.0,bottom
SW15,334.9625,-23.01875,0.0,bottom
SW16,354.0125,-23.01875,0.0,bottom
SW17,25.4,-51.59375,0.0,bottom
SW18,44.45,-51.59375,0.0,bottom
SW19,63.5,-51.59375,0.0,bottom
SW2,63.5,-23.01875,0.0,bottom
SW20,82.55,-51.59375,0.0,bottom
SW21,101.6,-51.59375,0.0,bottom
SW22,120.65,-51.59375,0.0,bottom
SW23,139.7,-51.59375,0.0,bottom
SW24,158.75,-51.59375,0.0,bottom
SW25,177.8,-51.59375,0.0,bottom
SW26,196.85,-51.59375,0.0,bottom
SW27,215.9,-51.59375,0.0,bottom
SW28,234.95,-51.59375,0.0,bottom
SW29,254.0,-51.59375,0.0,bottom
SW3,82.55,-23.01875,0.0,bottom
SW30,282.575,-51.59375,0.0,bottom
SW31,315.9125,-51.59375,0.0,bottom
SW32,334.9625,-51.59375,0.0,bottom
SW33,354.0125,-51.59375,0.0,bottom
SW34,30.1625,-70.64375,0.0,bottom
SW35,53.975,-70.64375,0.0,bottom
SW36,73.025,-70.64375,0.0,bottom
SW37,92.075,-70.64375,0.0,bottom
SW38,111.125,-70.64375,0.0,bottom
SW39,130.175,-70.64375,0.0,bottom
SW4,101.6,-23.01875,0.0,bottom
SW40,149.225,-70.64375,0.0,bottom
SW41,168.275,-70.64375,0.0,bottom
SW42,187.325,-70.64375,0.0,bottom
SW43,206.375,-70.64375,0.0,bottom
SW44,225.425,-70.64375,0.0,bottom
SW45,244.475,-70.64375,0.0,bottom
SW46,263.525,-70.64375,0.0,bottom
SW47,289.71875,-80.16875,0.0,bottom
SW48,315.9125,-70.64375,0.0,bottom
SW49,334.9625,-70.64375,0.0,bottom
SW5,120.65,-23.01875,0.0,bottom
SW50,354.0125,-70.64375,0.0,bottom
SW51,32.54375,-89.69375,0.0,bottom
SW52,58.7375,-89.69375,0.0,bottom
SW53,77.7875,-89.69375,0.0,bottom
SW54,96.8375,-89.69375,0.0,bottom
SW55,115.8875,-89.69375,0.0,bottom
SW56,134.9375,-89.69375,0.0,bottom
SW57,153.9875,-89.69375,0.0,bottom
SW58,173.0375,-89.69375,0.0,bottom
SW59,192.0875,-89.69375,0.0,bottom
SW6,149.225,-23.01875,0.0,bottom
SW60,211.1375,-89.69375,0.0,bottom
SW61,230.1875,-89.69375,0.0,bottom
SW62,249.2375,-89.69375,0.0,bottom
SW63,268.2875,-89.69375,0.0,bottom
SW64,37.30625,-108.74375,0.0,bottom
SW65,68.2625,-108.74375,0.0,bottom
SW66,87.3125,-108.74375,0.0,bottom
SW67,106.3625,-108.74375,0.0,bottom
SW68,125.4125,-108.74375,0.0,bottom
SW69,144.4625,-108.74375,0.0,bottom
SW7,168.275,-23.01875,0.0,bottom
SW70,163.5125,-108.74375,0.0,bottom
SW71,182.5625,-108.74375,0.0,bottom
SW72,201.6125,-108.74375,0.0,bottom
SW73,220.6625,-108.74375,0.0,bottom
SW74,239.7125,-108.74375,0.0,bottom
SW75,275.43125,-108.74375,0.0,bottom
SW76,334.9625,-108.74375,0.0,bottom
SW77,27.78125,-127.79375,0.0,bottom
SW78,51.59375,-127.79375,0.0,bottom
SW79,75.40625,-127.79375,0.0,bottom
SW8,187.325,-23.01875,0.0,bottom
SW80,146.84375,-127.79375,0.0,bottom
SW81,218.28125,-127.79375,0.0,bottom
SW82,242.09375,-127.79375,0.0,bottom
SW83,265.90625,-127.79375,0.0,bottom
SW84,289.71875,-127.79375,0.0,bottom
SW85,315.9125,-127.79375,0.0,bottom
SW86,334.9625,-127.79375,0.0,bottom
SW87,354.0125,-127.79375,0.0,bottom
SW9,206.375,-23.01875,0.0,bottom
U2,220.6625,-26.9875,0.0,bottom
U3,366.7125,-102.39375,0.0,bottom
Y1,368.3,-112.7125,135.0,bottom
